"customer_id","customer_name","gender","age","country","signup_date"
"CUST1063","Thandiwe Zwide","F","34","South Africa","02/23/2024"
"CUST1064","Philip Ofori","M","43","Ghana","03/12/2024"
"CUST1065","Aya Salah","F","26","Egypt","04/19/2024"
"CUST1066","Joseph Kiptoo","M","35","Kenya","05/07/2024"
"CUST1067","Patience Ugo","F","31","Nigeria","06/15/2023"
"CUST1068","Lungile Nkosi","M","40","South Africa","07/23/2023"
"CUST1069","Veronica Appiah","F","29","Ghana","08/30/2023"
"CUST1070","Mohamed Tarek","M","33","Egypt","09/17/2023"
"CUST1071","Faith Wanjiru","F","27","Kenya","10/25/2023"
"CUST1072","Chukwudi Okonkwo","M","37","Nigeria","11/12/2023"
"CUST1073","Nokuthula Mthembu","F","32","South Africa","12/20/2023"
"CUST1074","George Amankwah","M","44","Ghana","01/07/2024"
"CUST1075","Nour El-Din","F","25","Egypt","02/14/2024"
"CUST1076","Thomas Kipchoge","M","36","Kenya","03/03/2024"
"CUST1077","Adanna Nwankwo","F","30","Nigeria","04/10/2024"
"CUST1078","Vusi Mhlongo","M","39","South Africa","05/18/2024"
"CUST1079","Bridget Osei","F","28","Ghana","06/06/2023"
"CUST1080","Hassan Ali","M","31","Egypt","07/14/2023"
"CUST1081","Caroline Muthoni","F","29","Kenya","08/21/2023"
"CUST1082","Emmanuel Eze","M","35","Nigeria","09/09/2023"
"CUST1083","Sindi Shabalala","F","33","South Africa","10/17/2023"
"CUST1084","Francis Boateng","M","41","Ghana","11/24/2023"
"CUST1085","Salma Ahmed","F","26","Egypt","12/12/2023"
"CUST1086","Peter Kimani","M","37","Kenya","01/19/2024"
"CUST1087","Amara Okeke","F","31","Nigeria","02/06/2024"
"CUST1088","Thulani Zuma","M","40","South Africa","03/15/2024"
"CUST1089","Gladys Mensah","F","27","Ghana","04/02/2024"
"CUST1090","Youssef Hamdy","M","32","Egypt","05/10/2024"
"CUST1091","Jane Akinyi","F","28","Kenya","05/28/2024"
"CUST1092","Victor Ogunleye","M","36","Nigeria","06/16/2023"
"CUST1093","Lindiwe Mbatha","F","34","South Africa","07/24/2023"
"CUST1094","Edward Kofi","M","42","Ghana","08/31/2023"
"CUST1095","Lina Farouk","F","25","Egypt","09/18/2023"
"CUST1096","Daniel Koech","M","35","Kenya","10/26/2023"
"CUST1097","Chioma Okonkwo","F","30","Nigeria","11/13/2023"
"CUST1098","Mandla Dlamini","M","38","South Africa","12/21/2023"
"CUST1099","Esther Agyei","F","29","Ghana","01/08/2024"
"CUST1100","Mahmoud Gaber","M","31","Egypt","02/15/2024"
"CUST1101","Beatrice Wangui","F","27","Kenya","03/04/2024"
"CUST1102","Tope Adewale","M","37","Nigeria","04/11/2024"
"CUST1103","Nomusa Zungu","F","33","South Africa","05/19/2024"
"CUST1104","Paul Asamoah","M","44","Ghana","06/07/2023"
